Loading Type,Constraint,Number of Layer,E1/E2,a/h,Configuration,Deflection 
UDL,CCCC,12,10,10,HR1,0.565981112
UDL,CCCC,12,10,10,HR2,0.587974184
UDL,CCCC,12,10,10,HR3,0.617162156
UDL,CCCC,12,10,10,HE1,0.560205328
UDL,CCCC,12,10,10,HE2,0.565092508
UDL,CCCC,12,10,10,HE3,0.575513004
UDL,CCCC,12,10,10,HS1,0.631943236
UDL,CCCC,12,10,10,HS2,0.619072868
UDL,CCCC,12,10,10,HS3,0.570965944
UDL,CCCC,12,10,10,LH1,0.57383878
UDL,CCCC,12,10,10,LH2,0.582216508
UDL,CCCC,12,10,10,LH3,0.591851816
UDL,CCCC,12,10,10,FH,0.621255524
UDL,CCCC,12,10,10,QI,0.568541444
UDL,CCCC,12,10,100,HR1,0.318855592
UDL,CCCC,12,10,100,HR2,0.320779952
UDL,CCCC,12,10,100,HR3,0.3236319
UDL,CCCC,12,10,100,HE1,0.319969644
UDL,CCCC,12,10,100,HE2,0.323114396
UDL,CCCC,12,10,100,HE3,0.329278468
UDL,CCCC,12,10,100,HS1,0.35346806
UDL,CCCC,12,10,100,HS2,0.35199698
UDL,CCCC,12,10,100,HS3,0.348480088
UDL,CCCC,12,10,100,LH1,0.3210832
UDL,CCCC,12,10,100,LH2,0.32264522
UDL,CCCC,12,10,100,LH3,0.324461144
UDL,CCCC,12,10,100,FH,0.327071
UDL,CCCC,12,10,100,QI,0.339711336
UDL,CCCC,12,40,10,HR1,0.335864948
UDL,CCCC,12,40,10,HR2,0.361320768
UDL,CCCC,12,40,10,HR3,0.39287222
UDL,CCCC,12,40,10,HE1,0.327589088
UDL,CCCC,12,40,10,HE2,0.330933616
UDL,CCCC,12,40,10,HE3,0.337859532
UDL,CCCC,12,40,10,HS1,0.390511868
UDL,CCCC,12,40,10,HS2,0.365757988
UDL,CCCC,12,40,10,HS3,0.30749204
UDL,CCCC,12,40,10,LH1,0.345222724
UDL,CCCC,12,40,10,LH2,0.3548202
UDL,CCCC,12,40,10,LH3,0.365523728
UDL,CCCC,12,40,10,FH,0.394928528
UDL,CCCC,12,40,10,QI,0.311616332
UDL,CCCC,12,40,100,HR1,0.084349176
UDL,CCCC,12,40,100,HR2,0.085731536
UDL,CCCC,12,40,100,HR3,0.087811528
UDL,CCCC,12,40,100,HE1,0.084750836
UDL,CCCC,12,40,100,HE2,0.086501864
UDL,CCCC,12,40,100,HE3,0.090212284
UDL,CCCC,12,40,100,HS1,0.103692048
UDL,CCCC,12,40,100,HS2,0.104682004
UDL,CCCC,12,40,100,HS3,0.102660616
UDL,CCCC,12,40,100,LH1,0.08564716
UDL,CCCC,12,40,100,LH2,0.086600908
UDL,CCCC,12,40,100,LH3,0.08771982
UDL,CCCC,12,40,100,FH,0.089469964
UDL,CCCC,12,40,100,QI,0.098684216
UDL,CCCC,16,10,10,HR1,0.582715004
UDL,CCCC,16,10,10,HR2,0.634645884
UDL,CCCC,16,10,10,HR3,0.671200644
UDL,CCCC,16,10,10,HE1,0.564163556
UDL,CCCC,16,10,10,HE2,0.582318796
UDL,CCCC,16,10,10,HE3,0.59363028
UDL,CCCC,16,10,10,HS1,0.634456324
UDL,CCCC,16,10,10,HS2,0.622394816
UDL,CCCC,16,10,10,HS3,0.578320968
UDL,CCCC,16,10,10,LH1,0.586780992
UDL,CCCC,16,10,10,LH2,0.600948308
UDL,CCCC,16,10,10,LH3,0.61631224
UDL,CCCC,16,10,10,FH,0.645948592
UDL,CCCC,16,10,10,QI,0.567951636
UDL,CCCC,16,10,100,HR1,0.3202943
UDL,CCCC,16,10,100,HR2,0.325601232
UDL,CCCC,16,10,100,HR3,0.331669236
UDL,CCCC,16,10,100,HE1,0.322272748
UDL,CCCC,16,10,100,HE2,0.332295276
UDL,CCCC,16,10,100,HE3,0.3408583
UDL,CCCC,16,10,100,HS1,0.359890192
UDL,CCCC,16,10,100,HS2,0.358411992
UDL,CCCC,16,10,100,HS3,0.348688444
UDL,CCCC,16,10,100,LH1,0.323988732
UDL,CCCC,16,10,100,LH2,0.326949848
UDL,CCCC,16,10,100,LH3,0.3302601
UDL,CCCC,16,10,100,FH,0.33946618
UDL,CCCC,16,10,100,QI,0.34017384
UDL,CCCC,16,40,10,HR1,0.355361772
UDL,CCCC,16,40,10,HR2,0.4108038
UDL,CCCC,16,40,10,HR3,0.442017916
UDL,CCCC,16,40,10,HE1,0.330447624
UDL,CCCC,16,40,10,HE2,0.342192144
UDL,CCCC,16,40,10,HE3,0.340894968
UDL,CCCC,16,40,10,HS1,0.390367952
UDL,CCCC,16,40,10,HS2,0.368022184
UDL,CCCC,16,40,10,HS3,0.311399328
UDL,CCCC,16,40,10,LH1,0.359600356
UDL,CCCC,16,40,10,LH2,0.3749562
UDL,CCCC,16,40,10,LH3,0.390872884
UDL,CCCC,16,40,10,FH,0.406943364
UDL,CCCC,16,40,10,QI,0.309348212
UDL,CCCC,16,40,100,HR1,0.085367064
UDL,CCCC,16,40,100,HR2,0.089201608
UDL,CCCC,16,40,100,HR3,0.093649696
UDL,CCCC,16,40,100,HE1,0.08608476
UDL,CCCC,16,40,100,HE2,0.092522772
UDL,CCCC,16,40,100,HE3,0.099480604
UDL,CCCC,16,40,100,HS1,0.106730628
UDL,CCCC,16,40,100,HS2,0.107693912
UDL,CCCC,16,40,100,HS3,0.102796308
UDL,CCCC,16,40,100,LH1,0.087311284
UDL,CCCC,16,40,100,LH2,0.08908108
UDL,CCCC,16,40,100,LH3,0.091085836
UDL,CCCC,16,40,100,FH,0.0978994
UDL,CCCC,16,40,100,QI,0.098825188
UDL,CCCC,20,10,10,HR1,0.611918648
UDL,CCCC,20,10,10,HR2,0.673660552
UDL,CCCC,20,10,10,HR3,0.657698384
UDL,CCCC,20,10,10,HE1,0.57471728
UDL,CCCC,20,10,10,HE2,0.591894396
UDL,CCCC,20,10,10,HE3,0.596046888
UDL,CCCC,20,10,10,HS1,0.636585024
UDL,CCCC,20,10,10,HS2,0.627469196
UDL,CCCC,20,10,10,HS3,0.585738484
UDL,CCCC,20,10,10,LH1,0.602223116
UDL,CCCC,20,10,10,LH2,0.621969496
UDL,CCCC,20,10,10,LH3,0.641541256
UDL,CCCC,20,10,10,FH,0.605781056
UDL,CCCC,20,10,10,QI,0.568274804
UDL,CCCC,20,10,100,HR1,0.323075776
UDL,CCCC,20,10,100,HR2,0.332514372
UDL,CCCC,20,10,100,HR3,0.33881588
UDL,CCCC,20,10,100,HE1,0.327753648
UDL,CCCC,20,10,100,HE2,0.339020496
UDL,CCCC,20,10,100,HE3,0.347449704
UDL,CCCC,20,10,100,HS1,0.36390984
UDL,CCCC,20,10,100,HS2,0.363490508
UDL,CCCC,20,10,100,HS3,0.347901536
UDL,CCCC,20,10,100,LH1,0.3277137
UDL,CCCC,20,10,100,LH2,0.332250584
UDL,CCCC,20,10,100,LH3,0.337060888
UDL,CCCC,20,10,100,FH,0.337060888
UDL,CCCC,20,10,100,QI,0.340460612
UDL,CCCC,20,40,10,HR1,0.387586716
UDL,CCCC,20,40,10,HR2,0.443536644
UDL,CCCC,20,40,10,HR3,0.415355356
UDL,CCCC,20,40,10,HE1,0.337849808
UDL,CCCC,20,40,10,HE2,0.33977654
UDL,CCCC,20,40,10,HE3,0.337856576
UDL,CCCC,20,40,10,HS1,0.39103456
UDL,CCCC,20,40,10,HS2,0.372111892
UDL,CCCC,20,40,10,HS3,0.3170828
UDL,CCCC,20,40,10,LH1,0.37601424
UDL,CCCC,20,40,10,LH2,0.396247064
UDL,CCCC,20,40,10,LH3,0.414924712
UDL,CCCC,20,40,10,FH,0.362742832
UDL,CCCC,20,40,10,QI,0.309063172
UDL,CCCC,20,40,100,HR1,0.087345516
UDL,CCCC,20,40,100,HR2,0.094206648
UDL,CCCC,20,40,100,HR3,0.098398384
UDL,CCCC,20,40,100,HE1,0.08959012
UDL,CCCC,20,40,100,HE2,0.098566128
UDL,CCCC,20,40,100,HE3,0.10261826
UDL,CCCC,20,40,100,HS1,0.108702312
UDL,CCCC,20,40,100,HS2,0.110205156
UDL,CCCC,20,40,100,HS3,0.10243798
UDL,CCCC,20,40,100,LH1,0.0894358
UDL,CCCC,20,40,100,LH2,0.092141336
UDL,CCCC,20,40,100,LH3,0.095059
UDL,CCCC,20,40,100,FH,0.098616184
UDL,CCCC,20,40,100,QI,0.09894176
UDL,SSSS,12,10,10,HR1,1.319607132
UDL,SSSS,12,10,10,HR2,1.334790576
UDL,SSSS,12,10,10,HR3,1.351459764
UDL,SSSS,12,10,10,HE1,1.315879456
UDL,SSSS,12,10,10,HE2,1.31896702
UDL,SSSS,12,10,10,HE3,1.324076412
UDL,SSSS,12,10,10,HS1,1.353565452
UDL,SSSS,12,10,10,HS2,1.338087984
UDL,SSSS,12,10,10,HS3,1.326975248
UDL,SSSS,12,10,10,LH1,1.32555796
UDL,SSSS,12,10,10,LH2,1.3314337
UDL,SSSS,12,10,10,LH3,1.33778414
UDL,SSSS,12,10,10,FH,1.354550392
UDL,SSSS,12,10,10,QI,1.300805108
UDL,SSSS,12,10,100,HR1,1.19021852
UDL,SSSS,12,10,100,HR2,1.187876528
UDL,SSSS,12,10,100,HR3,1.182789576
UDL,SSSS,12,10,100,HE1,1.189992688
UDL,SSSS,12,10,100,HE2,1.185061856
UDL,SSSS,12,10,100,HE3,1.173112252
UDL,SSSS,12,10,100,HS1,1.129411116
UDL,SSSS,12,10,100,HS2,1.145285784
UDL,SSSS,12,10,100,HS3,1.160118828
UDL,SSSS,12,10,100,LH1,1.187120444
UDL,SSSS,12,10,100,LH2,1.18498448
UDL,SSSS,12,10,100,LH3,1.182279536
UDL,SSSS,12,10,100,FH,1.181332856
UDL,SSSS,12,10,100,QI,1.114743932
UDL,SSSS,12,40,10,HR1,0.649339416
UDL,SSSS,12,40,10,HR2,0.669380228
UDL,SSSS,12,40,10,HR3,0.694951556
UDL,SSSS,12,40,10,HE1,0.643751588
UDL,SSSS,12,40,10,HE2,0.646022348
UDL,SSSS,12,40,10,HE3,0.651230324
UDL,SSSS,12,40,10,HS1,0.681939324
UDL,SSSS,12,40,10,HS2,0.66772382
UDL,SSSS,12,40,10,HS3,0.637943128
UDL,SSSS,12,40,10,LH1,0.654777112
UDL,SSSS,12,40,10,LH2,0.661549948
UDL,SSSS,12,40,10,LH3,0.669290696
UDL,SSSS,12,40,10,FH,0.697397468
UDL,SSSS,12,40,10,QI,0.61993818
UDL,SSSS,12,40,100,HR1,0.406333504
UDL,SSSS,12,40,100,HR2,0.404556456
UDL,SSSS,12,40,100,HR3,0.402549176
UDL,SSSS,12,40,100,HE1,0.408183884
UDL,SSSS,12,40,100,HE2,0.407541576
UDL,SSSS,12,40,100,HE3,0.404038924
UDL,SSSS,12,40,100,HS1,0.385149784
UDL,SSSS,12,40,100,HS2,0.398100056
UDL,SSSS,12,40,100,HS3,0.406691292
UDL,SSSS,12,40,100,LH1,0.405385392
UDL,SSSS,12,40,100,LH2,0.40443556
UDL,SSSS,12,40,100,LH3,0.403283808
UDL,SSSS,12,40,100,FH,0.40411326
UDL,SSSS,12,40,100,QI,0.370923188
UDL,SSSS,16,10,10,HR1,1.331551712
UDL,SSSS,16,10,10,HR2,1.359861792
UDL,SSSS,16,10,10,HR3,1.371066132
UDL,SSSS,16,10,10,HE1,1.318088232
UDL,SSSS,16,10,10,HE2,1.326926976
UDL,SSSS,16,10,10,HE3,1.341917372
UDL,SSSS,16,10,10,HS1,1.362249572
UDL,SSSS,16,10,10,HS2,1.33484078
UDL,SSSS,16,10,10,HS3,1.325545692
UDL,SSSS,16,10,10,LH1,1.335592864
UDL,SSSS,16,10,10,LH2,1.3449495
UDL,SSSS,16,10,10,LH3,1.35396316
UDL,SSSS,16,10,10,FH,1.36072356
UDL,SSSS,16,10,10,QI,1.291812636
UDL,SSSS,16,10,100,HR1,1.188854664
UDL,SSSS,16,10,100,HR2,1.179613824
UDL,SSSS,16,10,100,HR3,1.168360644
UDL,SSSS,16,10,100,HE1,1.185480904
UDL,SSSS,16,10,100,HE2,1.167363048
UDL,SSSS,16,10,100,HE3,1.18644976
UDL,SSSS,16,10,100,HS1,1.138705888
UDL,SSSS,16,10,100,HS2,1.136951728
UDL,SSSS,16,10,100,HS3,1.14894468
UDL,SSSS,16,10,100,LH1,1.184824748
UDL,SSSS,16,10,100,LH2,1.1811167
UDL,SSSS,16,10,100,LH3,1.176528872
UDL,SSSS,16,10,100,FH,1.167641092
UDL,SSSS,16,10,100,QI,1.094642496
UDL,SSSS,16,40,10,HR1,0.664862116
UDL,SSSS,16,40,10,HR2,0.710149672
UDL,SSSS,16,40,10,HR3,0.740390692
UDL,SSSS,16,40,10,HE1,0.64534528
UDL,SSSS,16,40,10,HE2,0.65665694
UDL,SSSS,16,40,10,HE3,0.669336716
UDL,SSSS,16,40,10,HS1,0.68772078
UDL,SSSS,16,40,10,HS2,0.665678496
UDL,SSSS,16,40,10,HS3,0.635730392
UDL,SSSS,16,40,10,LH1,0.6658529
UDL,SSSS,16,40,10,LH2,0.677452356
UDL,SSSS,16,40,10,LH3,0.68985562
UDL,SSSS,16,40,10,FH,0.7159857
UDL,SSSS,16,40,10,QI,0.610657248
UDL,SSSS,16,40,100,HR1,0.405159388
UDL,SSSS,16,40,100,HR2,0.402096496
UDL,SSSS,16,40,100,HR3,0.402045896
UDL,SSSS,16,40,100,HE1,0.407132576
UDL,SSSS,16,40,100,HE2,0.402875792
UDL,SSSS,16,40,100,HE3,0.422104348
UDL,SSSS,16,40,100,HS1,0.394677904
UDL,SSSS,16,40,100,HS2,0.39667092
UDL,SSSS,16,40,100,HS3,0.397286144
UDL,SSSS,16,40,100,LH1,0.404957544
UDL,SSSS,16,40,100,LH2,0.4037348
UDL,SSSS,16,40,100,LH3,0.402446592
UDL,SSSS,16,40,100,FH,0.406114012
UDL,SSSS,16,40,100,QI,0.358154884
UDL,SSSS,20,10,10,HR1,1.349266964
UDL,SSSS,20,10,10,HR2,1.371857688
UDL,SSSS,20,10,10,HR3,1.363605892
UDL,SSSS,20,10,10,HE1,1.322771148
UDL,SSSS,20,10,10,HE2,1.329038016
UDL,SSSS,20,10,10,HE3,1.348256728
UDL,SSSS,20,10,10,HS1,1.369302088
UDL,SSSS,20,10,10,HS2,1.336562028
UDL,SSSS,20,10,10,HS3,1.31610552
UDL,SSSS,20,10,10,LH1,1.346751612
UDL,SSSS,20,10,10,LH2,1.35838754
UDL,SSSS,20,10,10,LH3,1.367962604
UDL,SSSS,20,10,10,FH,1.335982444
UDL,SSSS,20,10,10,QI,1.27815588
UDL,SSSS,20,10,100,HR1,1.184813212
UDL,SSSS,20,10,100,HR2,1.167633108
UDL,SSSS,20,10,100,HR3,1.15956694
UDL,SSSS,20,10,100,HE1,1.173519904
UDL,SSSS,20,10,100,HE2,1.162136028
UDL,SSSS,20,10,100,HE3,1.185150948
UDL,SSSS,20,10,100,HS1,1.146914044
UDL,SSSS,20,10,100,HS2,1.135759324
UDL,SSSS,20,10,100,HS3,1.123529844
UDL,SSSS,20,10,100,LH1,1.18179416
UDL,SSSS,20,10,100,LH2,1.176275948
UDL,SSSS,20,10,100,LH3,1.17016876
UDL,SSSS,20,10,100,FH,1.1546398
UDL,SSSS,20,10,100,QI,1.075946644
UDL,SSSS,20,40,10,HR1,0.690947148
UDL,SSSS,20,40,10,HR2,0.74275376
UDL,SSSS,20,40,10,HR3,0.728292744
UDL,SSSS,20,40,10,HE1,0.650836048
UDL,SSSS,20,40,10,HE2,0.659055188
UDL,SSSS,20,40,10,HE3,0.667679148
UDL,SSSS,20,40,10,HS1,0.693666916
UDL,SSSS,20,40,10,HS2,0.669115056
UDL,SSSS,20,40,10,HS3,0.631910496
UDL,SSSS,20,40,10,LH1,0.679094632
UDL,SSSS,20,40,10,LH2,0.695257928
UDL,SSSS,20,40,10,LH3,0.71108324
UDL,SSSS,20,40,10,FH,0.674954088
UDL,SSSS,20,40,10,QI,0.60311916
UDL,SSSS,20,40,100,HR1,0.403370384
UDL,SSSS,20,40,100,HR2,0.402546908
UDL,SSSS,20,40,100,HR3,0.40266594
UDL,SSSS,20,40,100,HE1,0.403378052
UDL,SSSS,20,40,100,HE2,0.40392822
UDL,SSSS,20,40,100,HE3,0.422173668
UDL,SSSS,20,40,100,HS1,0.402787348
UDL,SSSS,20,40,100,HS2,0.399231248
UDL,SSSS,20,40,100,HS3,0.380264232
UDL,SSSS,20,40,100,LH1,0.40464566
UDL,SSSS,20,40,100,LH2,0.403463128
UDL,SSSS,20,40,100,LH3,0.402689704
UDL,SSSS,20,40,100,FH,0.399737652
